

====================================================================================================
模型：Bi_LSTM+CRF，test结果如下：
           precision    recall  f1-score   support
     B-服务     0.0000    0.0000    0.0000       124
avg/total     0.9346    0.9572    0.9440     51370

====================================================================================================
模型：Bi_LSTM+CRF，test结果如下：
           precision    recall  f1-score   support
     B-应用     1.0000    0.9020    0.9485       102
    E-微服务     1.0000    0.9902    0.9951       204
     E-IP     0.9577    0.9067    0.9315       300
    E-中间件     1.0000    1.0000    1.0000       100
     E-应用     1.0000    1.0000    1.0000       102
     M-IP     0.9833    0.9966    0.9899      2952
     M-接口     1.0000    0.9756    0.9876      1882
    B-中间件     1.0000    0.9400    0.9691       100
    M-中间件     0.9963    1.0000    0.9981      1598
     M-应用     0.9943    1.0000    0.9971      1738
     B-主机     0.9767    0.8571    0.9130        98
     B-IP     0.9934    1.0000    0.9967       300
     B-接口     1.0000    0.9808    0.9903       104
        O     0.9945    0.9999    0.9972     31184
    M-微服务     1.0000    0.9986    0.9993      2900
     E-接口     0.9804    0.9615    0.9709       104
     M-主机     0.9704    1.0000    0.9850      1442
     B-端口     0.9733    0.9542    0.9637       306
    B-微服务     1.0000    1.0000    1.0000       204
     E-主机     0.9767    0.8571    0.9130        98
     M-端口     0.9880    0.9769    0.9824      2686
     M-服务     0.9795    0.9507    0.9649      2312
     E-服务     0.9608    0.7903    0.8673       124
     B-服务     0.9804    0.8065    0.8850       124
     E-端口     0.9726    0.9281    0.9498       306
avg/total     0.9921    0.9921    0.9920     51370

====================================================================================================
模型：Bi_LSTM+CRF，test结果如下：
           precision    recall  f1-score   support
     M-IP     0.9899    0.9946    0.9922      2952
     B-应用     1.0000    0.8235    0.9032       102
     M-应用     0.9897    0.9977    0.9937      1738
     B-IP     0.9934    1.0000    0.9967       300
     E-服务     0.9608    0.7903    0.8673       124
     E-主机     0.9767    0.8571    0.9130        98
    E-微服务     1.0000    0.9804    0.9901       204
     E-接口     0.9804    0.9615    0.9709       104
        O     0.9946    0.9999    0.9973     31184
     M-接口     1.0000    0.9756    0.9876      1882
     E-IP     0.9419    0.9733    0.9574       300
     M-端口     0.9887    0.9739    0.9812      2686
     M-主机     0.9626    1.0000    0.9810      1442
     B-服务     0.9804    0.8065    0.8850       124
     M-服务     0.9795    0.9507    0.9649      2312
    E-中间件     1.0000    1.0000    1.0000       100
     E-端口     0.9295    0.9477    0.9385       306
    M-中间件     0.9963    1.0000    0.9981      1598
     E-应用     1.0000    1.0000    1.0000       102
    B-微服务     1.0000    1.0000    1.0000       204
     B-端口     0.9931    0.9412    0.9664       306
     B-接口     1.0000    0.9808    0.9903       104
    M-微服务     0.9993    0.9979    0.9986      2900
     B-主机     0.9767    0.8571    0.9130        98
    B-中间件     1.0000    0.9400    0.9691       100
avg/total     0.9920    0.9920    0.9919     51370

====================================================================================================
模型：Bi_LSTM+CRF，test结果如下：
           precision    recall  f1-score   support
     M-接口     0.9563    0.9756    0.9658      1882
     E-端口     0.9692    0.8235    0.8905       306
     B-主机     0.9767    0.8571    0.9130        98
     B-端口     0.9704    0.8562    0.9097       306
     M-端口     0.9880    0.9769    0.9824      2686
     E-服务     0.9608    0.7903    0.8673       124
     B-IP     0.9933    0.9933    0.9933       300
     B-接口     1.0000    0.1731    0.2951       104
    B-微服务     1.0000    0.6471    0.7857       204
     M-应用     0.9496    0.9977    0.9731      1738
     M-服务     0.9795    0.9507    0.9649      2312
     M-主机     0.9796    1.0000    0.9897      1442
    E-中间件     0.0000    0.0000    0.0000       100
    M-中间件     0.9400    1.0000    0.9691      1598
    E-微服务     1.0000    0.4118    0.5833       204
     B-应用     0.0000    0.0000    0.0000       102
    M-微服务     0.9458    0.9979    0.9711      2900
     E-IP     0.9667    0.7733    0.8593       300
        O     0.9844    0.9999    0.9921     31184
     M-IP     0.9697    0.9966    0.9830      2952
     E-应用     0.0000    0.0000    0.0000       102
     E-主机     0.9767    0.8571    0.9130        98
     B-服务     0.9804    0.8065    0.8850       124
    B-中间件     0.0000    0.0000    0.0000       100
     E-接口     0.9804    0.9615    0.9709       104
avg/total     0.9697    0.9771    0.9718     51370

====================================================================================================
模型：Bi_LSTM+CRF，test结果如下：
           precision    recall  f1-score   support
     B-端口     0.9730    0.9412    0.9568       306
     M-接口     1.0000    0.9756    0.9876      1882
     E-服务     0.9608    0.7903    0.8673       124
     E-接口     0.9804    0.9615    0.9709       104
     M-应用     0.9786    1.0000    0.9892      1738
     E-IP     0.9559    0.8667    0.9091       300
    B-微服务     1.0000    0.9902    0.9951       204
     B-接口     1.0000    0.9808    0.9903       104
     E-主机     0.9767    0.8571    0.9130        98
    B-中间件     0.9592    0.9400    0.9495       100
     B-主机     0.9767    0.8571    0.9130        98
     M-端口     0.9924    0.9769    0.9846      2686
     M-主机     0.9796    1.0000    0.9897      1442
        O     0.9935    0.9999    0.9967     31184
    M-微服务     0.9837    0.9979    0.9908      2900
     B-应用     1.0000    0.5686    0.7250       102
     M-服务     0.9795    0.9507    0.9649      2312
    M-中间件     1.0000    0.9975    0.9987      1598
    E-中间件     1.0000    1.0000    1.0000       100
     E-应用     1.0000    1.0000    1.0000       102
     B-服务     0.9804    0.8065    0.8850       124
     E-端口     0.9735    0.9608    0.9671       306
     B-IP     0.9804    1.0000    0.9901       300
    E-微服务     1.0000    0.7647    0.8667       204
     M-IP     0.9794    0.9966    0.9879      2952
avg/total     0.9903    0.9903    0.9900     51370

====================================================================================================
模型：Bi_LSTM+CRF，test结果如下：
           precision    recall  f1-score   support
        O     0.9946    0.9999    0.9972     31184
    B-微服务     1.0000    0.9902    0.9951       204
     E-服务     0.9608    0.7903    0.8673       124
     E-主机     0.9767    0.8571    0.9130        98
     B-主机     0.9767    0.8571    0.9130        98
     B-应用     1.0000    0.8824    0.9375       102
     M-应用     0.9954    0.9977    0.9966      1738
     M-IP     0.9787    0.9953    0.9869      2952
     E-端口     0.9792    0.9216    0.9495       306
     B-服务     0.9804    0.8065    0.8850       124
     B-IP     0.9934    1.0000    0.9967       300
    B-中间件     1.0000    0.9400    0.9691       100
     M-接口     1.0000    0.9756    0.9876      1882
     M-端口     0.9858    0.9799    0.9828      2686
     M-主机     0.9626    1.0000    0.9810      1442
     B-接口     1.0000    0.9808    0.9903       104
     B-端口     0.9931    0.9412    0.9664       306
     E-IP     0.9420    0.8667    0.9028       300
     M-服务     0.9795    0.9507    0.9649      2312
     E-应用     1.0000    1.0000    1.0000       102
    E-微服务     1.0000    0.8725    0.9319       204
    M-中间件     0.9963    1.0000    0.9981      1598
    M-微服务     0.9911    0.9986    0.9948      2900
     E-接口     0.9804    0.9615    0.9709       104
    E-中间件     1.0000    1.0000    1.0000       100
avg/total     0.9912    0.9912    0.9911     51370

====================================================================================================
模型：Bi_LSTM+CRF，test结果如下：
           precision    recall  f1-score   support
     M-IP     0.9899    0.9953    0.9926      2952
     E-接口     0.9804    0.9615    0.9709       104
     B-接口     1.0000    0.9808    0.9903       104
        O     0.9939    0.9999    0.9969     31184
     E-应用     1.0000    1.0000    1.0000       102
     E-主机     0.9767    0.8571    0.9130        98
     B-端口     0.9931    0.9412    0.9664       306
     M-接口     1.0000    0.9756    0.9876      1882
     B-应用     1.0000    0.5686    0.7250       102
    E-中间件     1.0000    1.0000    1.0000       100
     M-主机     0.9704    1.0000    0.9850      1442
     E-服务     0.9608    0.7903    0.8673       124
     M-端口     0.9858    0.9792    0.9824      2686
     B-主机     0.9767    0.8571    0.9130        98
    E-微服务     1.0000    0.9902    0.9951       204
    M-微服务     1.0000    0.9986    0.9993      2900
     M-服务     0.9795    0.9507    0.9649      2312
    B-中间件     1.0000    0.9400    0.9691       100
    M-中间件     0.9963    1.0000    0.9981      1598
     E-端口     0.9706    0.8627    0.9135       306
     B-IP     0.9934    1.0000    0.9967       300
     M-应用     0.9753    1.0000    0.9875      1738
     B-服务     0.9804    0.8065    0.8850       124
     E-IP     0.9481    0.9733    0.9605       300
    B-微服务     1.0000    1.0000    1.0000       204
avg/total     0.9914    0.9914    0.9912     51370

====================================================================================================
模型：Bi_LSTM+CRF，test结果如下：
           precision    recall  f1-score   support
B-MetricName     0.9861    1.0000    0.9930        71
B-Operation     1.0000    1.0000    1.0000        23
        O     0.9966    0.9856    0.9911     13834
   M-Time     0.2439    1.0000    0.3922        60
M-Endpoint     1.0000    0.9861    0.9930       432
     M-IP     0.9899    1.0000    0.9949       786
   M-Host     0.8113    1.0000    0.8958        86
 B-System     0.0000    0.0000    0.0000         4
B-StaticsMetricVal     1.0000    0.9861    0.9930        72
 B-Metric     1.0000    1.0000    1.0000         2
   B-Host     0.0000    0.0000    0.0000         4
 E-Status     1.0000    0.9467    0.9726        75
E-Operation     1.0000    1.0000    1.0000        23
 E-System     1.0000    1.0000    1.0000         4
E-StaticsMetricVal     1.0000    0.9861    0.9930        72
   E-Time     0.0000    0.0000    0.0000         4
 M-System     1.0000    1.0000    1.0000        44
 B-Status     1.0000    0.9467    0.9726        75
   E-Host     0.0000    0.0000    0.0000         4
   E-Port     0.9861    0.9467    0.9660        75
 M-Metric     1.0000    1.0000    1.0000         2
   B-Time     0.0000    0.0000    0.0000         4
     E-CI     1.0000    0.9792    0.9895        96
 M-Status     0.0000    0.0000    0.0000        12
E-Endpoint     1.0000    0.9861    0.9930        72
     B-CI     1.0000    0.9792    0.9895        96
     E-IP     0.9895    1.0000    0.9947        94
     M-CI     1.0000    0.9904    0.9952       209
 B-Degree     0.9796    1.0000    0.9897        96
E-MetricName     0.9861    1.0000    0.9930        71
   B-Port     0.9861    0.9467    0.9660        75
   M-Port     0.9861    0.9467    0.9660       150
M-Operation     1.0000    1.0000    1.0000       115
B-Endpoint     1.0000    0.9861    0.9930        72
M-MetricName     0.9861    1.0000    0.9930       142
 E-Degree     1.0000    0.9792    0.9895        96
 E-Metric     1.0000    1.0000    1.0000         2
     B-IP     0.9895    1.0000    0.9947        94
avg/total     0.9907    0.9842    0.9865     17248

====================================================================================================
模型：Bi_LSTM+CRF，test结果如下：
           precision    recall  f1-score   support
 M-Metric     0.9363    1.0000    0.9671       735
B-MetricName     0.9427    0.9537    0.9482       259
M-StaticsMetricVal     1.0000    1.0000    1.0000        87
     B-CI     0.9874    0.9949    0.9911       393
   M-Time     1.0000    1.0000    1.0000      1380
 B-Degree     0.9700    0.9848    0.9773       328
     E-CI     1.0000    0.9949    0.9974       393
        O     0.9918    0.9980    0.9949     76374
 E-Degree     1.0000    0.9833    0.9916       299
   E-Host     1.0000    0.9024    0.9487        82
B-Operation     1.0000    1.0000    1.0000        10
E-StaticsMetricVal     1.0000    1.0000    1.0000       136
M-Operation     1.0000    1.0000    1.0000        50
 B-Status     0.9103    0.7719    0.8354       171
   B-Time     1.0000    1.0000    1.0000        92
E-Endpoint     1.0000    1.0000    1.0000        67
     M-CI     1.0000    0.9994    0.9997      1737
M-MetricName     1.0000    0.8787    0.9354       239
 E-Metric     1.0000    1.0000    1.0000       170
   B-Port     0.9778    0.5029    0.6642       175
   E-Time     1.0000    1.0000    1.0000        92
   B-Host     1.0000    1.0000    1.0000        82
 M-Degree     1.0000    0.9035    0.9493       259
 M-System     1.0000    1.0000    1.0000       902
     B-IP     1.0000    0.9880    0.9940       250
     E-IP     1.0000    0.9800    0.9899       250
     M-IP     1.0000    0.9895    0.9947      2098
B-StaticsMetricVal     1.0000    1.0000    1.0000       136
 B-Metric     0.8507    1.0000    0.9194       114
   E-Port     0.9659    0.4857    0.6464       175
   M-Port     0.9777    0.5000    0.6616       350
   M-Host     1.0000    0.9953    0.9977      1712
 M-Status     0.8529    0.6170    0.7160       188
M-Endpoint     1.0000    1.0000    1.0000       402
B-Endpoint     1.0000    0.8806    0.9365        67
E-Operation     1.0000    1.0000    1.0000        10
 B-System     1.0000    1.0000    1.0000        82
E-MetricName     0.9275    0.9884    0.9570       259
 E-System     1.0000    1.0000    1.0000        82
 E-Status     0.9760    0.7135    0.8243       171
avg/total     0.9911    0.9912    0.9904     90858

====================================================================================================
模型：Bi_LSTM+CRF，test结果如下：
           precision    recall  f1-score   support
 B-metric     0.0000    0.0000    0.0000        53
 M-status     0.8276    0.5393    0.6531        89
B-statics     0.4839    0.2500    0.3297        60
E-statics     1.0000    0.5000    0.6667        60
 E-metric     0.8889    0.1509    0.2581        53
        O     0.9005    0.9525    0.9258      2507
 E-status     0.0000    0.0000    0.0000        60
 B-degree     1.0000    0.0488    0.0930        41
 B-status     1.0000    0.0833    0.1538        60
M-statics     0.7867    0.5086    0.6178       116
 M-metric     0.7793    0.9953    0.8742       855
 E-degree     1.0000    1.0000    1.0000        41
avg/total     0.8428    0.8628    0.8324      3995

====================================================================================================
模型：Bi_LSTM+CRF，test结果如下：
           precision    recall  f1-score   support
 E-degree     1.0000    0.9512    0.9750        41
        O     0.8302    0.9577    0.8894      2507
 B-degree     0.6957    0.3902    0.5000        41
 M-metric     0.8400    0.7918    0.8152       855
M-statics     1.0000    0.4052    0.5767       116
 B-metric     0.7308    0.3585    0.4810        53
 E-status     1.0000    0.3333    0.5000        60
 M-status     1.0000    0.3820    0.5528        89
B-statics     0.6400    0.5333    0.5818        60
 E-metric     0.8889    0.1509    0.2581        53
 B-status     1.0000    0.3167    0.4810        60
E-statics     1.0000    0.5000    0.6667        60
avg/total     0.8456    0.8365    0.8201      3995
